year,doy,hour,mean,std
2014,167,9,0.14601599999999998,0.036503999999999995
2014,190,12,0.17064000000000001,0.042660000000000003
2014,254,13,0.112968,0.005803932459979187
2014,295,12,0.085104,0.0018328207768355327
2015,169,13,0.131544,0.021077438933608614
2015,202,8,0.16999200000000003,0.04612598955036088
2015,252,10,0.13824000000000003,0.07820035314498269
2015,284,11,0.155304,0.0003054701294726024
2015,324,10,0.018576,0.004644
2016,82,10,0.092448,0.023112
2016,133,14,0.11512800000000001,0.035740005148292855
2016,168,15,0.497124,0.09759770636649204
2016,199,14,0.408564,0.015426241538365772
2016,252,14,0.23144399999999998,0.07713120769182862
2016,293,10,0.07819200000000001,0.019548000000000003
2017,109,10,0.19677599999999998,0.10844189596276894
2017,144,9,0.2682360000000001,0.0217392908807992
2017,173,7,0.146556,0.058802999923473286
2017,199,8,0.347724,0.03813285449582817
2017,262,9,0.17733600000000002,0.028408722040950744
2017,298,10,0.075924,0.005956667524715475
2018,109,10,0.091152,0.022788
2018,131,14,0.11437200000000002,0.02764504671726927
2018,160,9,0.13359600000000002,0.016648122056256095
2018,214,13,0.16135200000000002,0.021077438933608614
2018,262,13,0.168696,0.016189916862047193
2019,113,10,0.16340400000000002,0.1092055712864504
2019,155,16,0.46202400000000005,0.1597608777141638
2019,197,10,0.261468,0.004734787006825117
2019,233,10,0.249156,0.05880299992347331
2021,112,15,0.19634400000000002,0.049086000000000005
2021,138,15,0.16686,0.041715
2021,173,10,0.129168,0.032292
2021,299,14,0.055944,0.013986
